id,body,date,amount,sender,recipient_name,recipient_phone,fee,new_balance,transaction_type
280,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-06-24 18:15:17. Your NEW BALANCE :5800 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-24 16:15:17",5000,"unknown sender","your mobile money account at",2024,0,5800,"Bank Deposit"
281,"*165*S*1000 RWF transferred to Jane Smith (250788999999) from 36521838 at 2024-06-24 18:15:56 . Fee was: 20 RWF. New balance: 4780 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-24 16:15:56",1000,"unknown sender","jane smith",250788999999,20,4780,"Transfer to Mobile"
282,"TxId: 99439041781. Your payment of 4,200 RWF to Alex Doe 41367 has been completed at 2024-06-24 20:40:01. Your new balance: 580 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-24 18:40:01",4200,"unknown sender","alex doe",41367,0,580,"Payment to Code Holder"
283,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-06-24 21:04:26. Your NEW BALANCE :5580 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-24 19:04:26",5000,"unknown sender","your mobile money account at",2024,0,5580,"Bank Deposit"
284,"TxId: 91628513434. Your payment of 2,400 RWF to Alex Doe 29405 has been completed at 2024-06-24 21:06:12. Your new balance: 3,180 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-24 19:06:12",2400,"unknown sender","alex doe",29405,0,3180,"Payment to Code Holder"
285,"*165*S*800 RWF transferred to Linda Green (250791666666) from 36521838 at 2024-06-24 21:39:10 . Fee was: 20 RWF. New balance: 2360 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-24 19:39:10",800,"unknown sender","linda green",250791666666,20,2360,"Transfer to Mobile"
286,"*165*S*1500 RWF transferred to Samuel Carter (250789888888) from 36521838 at 2024-06-25 09:45:05 . Fee was: 100 RWF. New balance: 760 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-25 07:45:05",1500,"unknown sender","samuel carter",250789888888,100,760,"Transfer to Mobile"
287,"*113*R*A bank deposit of 20000 RWF has been added to your mobile money account at 2024-06-25 13:32:23. Your NEW BALANCE :20760 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-25 11:32:23",20000,"unknown sender","your mobile money account at",2024,0,20760,"Bank Deposit"
288,"TxId: 95997298432. Your payment of 3,500 RWF to Jane Smith 79876 has been completed at 2024-06-25 13:32:46. Your new balance: 17,260 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-25 11:32:46",3500,"unknown sender","jane smith",79876,0,17260,"Payment to Code Holder"
289,"*165*S*5000 RWF transferred to Samuel Carter (250790777777) from 36521838 at 2024-06-25 13:37:24 . Fee was: 100 RWF. New balance: 12160 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-25 11:37:24",5000,"unknown sender","samuel carter",250790777777,100,12160,"Transfer to Mobile"
290,"TxId: 93272208136. Your payment of 1,500 RWF to Alex Doe 88360 has been completed at 2024-06-25 13:57:32. Your new balance: 10,660 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-25 11:57:32",1500,"unknown sender","alex doe",88360,0,10660,"Payment to Code Holder"
291,"*165*S*1800 RWF transferred to Jane Smith (250788999999) from 36521838 at 2024-06-25 18:25:04 . Fee was: 100 RWF. New balance: 8760 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-25 16:25:04",1800,"unknown sender","jane smith",250788999999,100,8760,"Transfer to Mobile"
292,"TxId: 76500239822. Your payment of 1,200 RWF to Robert Brown 89730 has been completed at 2024-06-25 19:03:16. Your new balance: 7,560 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-25 17:03:16",1200,"unknown sender","robert brown",89730,0,7560,"Payment to Code Holder"
293,"*165*S*2500 RWF transferred to Linda Green (250790777777) from 36521838 at 2024-06-25 20:46:31 . Fee was: 100 RWF. New balance: 4960 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-25 18:46:31",2500,"unknown sender","linda green",250790777777,100,4960,"Transfer to Mobile"
294,"*113*R*A bank deposit of 30000 RWF has been added to your mobile money account at 2024-06-25 22:10:11. Your NEW BALANCE :34960 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-25 20:10:11",30000,"unknown sender","your mobile money account at",2024,0,34960,"Bank Deposit"
295,"TxId: 62680813443. Your payment of 15,000 RWF to Jane Smith 27049 has been completed at 2024-06-25 22:11:05. Your new balance: 19,960 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-25 20:11:05",15000,"unknown sender","jane smith",27049,0,19960,"Payment to Code Holder"
296,"TxId: 60128198918. Your payment of 2,500 RWF to Samuel Carter 28730 has been completed at 2024-06-25 22:12:12. Your new balance: 17,460 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-25 20:12:12",2500,"unknown sender","samuel carter",28730,0,17460,"Payment to Code Holder"
297,"*165*S*8000 RWF transferred to Linda Green (250789888888) from 36521838 at 2024-06-25 22:19:18 . Fee was: 100 RWF. New balance: 9360 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-25 20:19:18",8000,"unknown sender","linda green",250789888888,100,9360,"Transfer to Mobile"
298,"TxId: 45944658885. Your payment of 2,000 RWF to Jane Smith 50933 has been completed at 2024-06-25 23:32:50. Your new balance: 7,360 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-25 21:32:50",2000,"unknown sender","jane smith",50933,0,7360,"Payment to Code Holder"
299,"TxId: 95262102019. Your payment of 2,000 RWF to Robert Brown 69373 has been completed at 2024-06-26 09:52:34. Your new balance: 5,360 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-26 07:52:34",2000,"unknown sender","robert brown",69373,0,5360,"Payment to Code Holder"
300,"*165*S*10000 RWF transferred to Samuel Carter (250788999999) from 36521838 at 2024-06-26 12:55:52 . Fee was: 100 RWF. New balance: 260 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-26 10:55:52",10000,"unknown sender","samuel carter",250788999999,100,260,"Transfer to Mobile"
301,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-06-26 12:55:03. Your NEW BALANCE :10360 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-26 10:55:03",5000,"unknown sender","your mobile money account at",2024,0,10360,"Bank Deposit"
302,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-06-26 13:48:25. Your NEW BALANCE :5260 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-26 11:48:25",5000,"unknown sender","your mobile money account at",2024,0,5260,"Bank Deposit"
303,"TxId: 87006296823. Your payment of 3,500 RWF to Robert Brown 96044 has been completed at 2024-06-26 13:49:35. Your new balance: 1,760 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-26 11:49:35",3500,"unknown sender","robert brown",96044,0,1760,"Payment to Code Holder"
304,"*165*S*1500 RWF transferred to Alex Doe (250790777777) from 36521838 at 2024-06-26 16:42:17 . Fee was: 100 RWF. New balance: 160 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-26 14:42:17",1500,"unknown sender","alex doe",250790777777,100,160,"Transfer to Mobile"
305,"*113*R*A bank deposit of 30000 RWF has been added to your mobile money account at 2024-06-26 18:38:44. Your NEW BALANCE :30160 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-26 16:38:44",30000,"unknown sender","your mobile money account at",2024,0,30160,"Bank Deposit"
306,"*165*S*25000 RWF transferred to Jane Smith (250791666666) from 36521838 at 2024-06-26 18:40:52 . Fee was: 250 RWF. New balance: 4910 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-26 16:40:52",25000,"unknown sender","jane smith",250791666666,250,4910,"Transfer to Mobile"
307,"*162*TxId:14540224719*S*Your payment of 1000 RWF to MTN Cash Power with token 70836-02982-06384-28148 has been completed at 2024-06-26 18:43:34. Fee was 0 RWF. Your new balance: 3910 RWF . Message: - -. *EN#","2024-06-26 16:43:34",1000,"unknown sender","mtn cash power with token",70836,0,3910,"Payment to Code Holder"
308,"*165*S*1000 RWF transferred to Robert Brown (250790777777) from 36521838 at 2024-06-26 19:30:55 . Fee was: 20 RWF. New balance: 2890 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-26 17:30:55",1000,"unknown sender","robert brown",250790777777,20,2890,"Transfer to Mobile"
309,"TxId: 31576470196. Your payment of 2,600 RWF to Samuel Carter 26362 has been completed at 2024-06-26 20:56:26. Your new balance: 290 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-26 18:56:26",2600,"unknown sender","samuel carter",26362,0,290,"Payment to Code Holder"
310,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-06-26 21:08:02. Your NEW BALANCE :5290 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-26 19:08:02",5000,"unknown sender","your mobile money account at",2024,0,5290,"Bank Deposit"
311,"TxId: 73458718592. Your payment of 1,300 RWF to Linda Green 68296 has been completed at 2024-06-26 21:15:01. Your new balance: 3,990 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-26 19:15:01",1300,"unknown sender","linda green",68296,0,3990,"Payment to Code Holder"
312,"TxId: 38607418037. Your payment of 2,000 RWF to Samuel Carter 32097 has been completed at 2024-06-27 10:11:28. Your new balance: 1,990 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-27 08:11:28",2000,"unknown sender","samuel carter",32097,0,1990,"Payment to Code Holder"
313,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-06-27 12:42:04. Your NEW BALANCE :6990 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-27 10:42:04",5000,"unknown sender","your mobile money account at",2024,0,6990,"Bank Deposit"
314,"TxId: 74528093189. Your payment of 3,000 RWF to Samuel Carter 80358 has been completed at 2024-06-27 12:42:40. Your new balance: 3,990 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-27 10:42:40",3000,"unknown sender","samuel carter",80358,0,3990,"Payment to Code Holder"
315,"*162*TxId:14551117248*S*Your payment of 2000 RWF to Airtime with token  has been completed at 2024-06-27 15:06:43. Fee was 0 RWF. Your new balance: 1990 RWF . Message: - -. *EN#","2024-06-27 13:06:43",2000,"unknown sender","airtime with token  has been completed at",2024,0,1990,"Payment to Code Holder"
316,"*165*S*800 RWF transferred to Samuel Carter (250788999999) from 36521838 at 2024-06-27 16:46:43 . Fee was: 20 RWF. New balance: 1170 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-27 14:46:43",800,"unknown sender","samuel carter",250788999999,20,1170,"Transfer to Mobile"
317,"*113*R*A bank deposit of 10000 RWF has been added to your mobile money account at 2024-06-27 19:36:13. Your NEW BALANCE :11170 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-27 17:36:13",10000,"unknown sender","your mobile money account at",2024,0,11170,"Bank Deposit"
318,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-06-27 19:38:09. Your NEW BALANCE :16170 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-27 17:38:09",5000,"unknown sender","your mobile money account at",2024,0,16170,"Bank Deposit"
319,"*165*S*11000 RWF transferred to Jane Smith (250789888888) from 36521838 at 2024-06-27 19:38:32 . Fee was: 250 RWF. New balance: 4920 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-27 17:38:32",11000,"unknown sender","jane smith",250789888888,250,4920,"Transfer to Mobile"
320,"TxId: 36124196268. Your payment of 2,000 RWF to Samuel Carter 53745 has been completed at 2024-06-28 11:57:46. Your new balance: 2,920 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-28 09:57:46",2000,"unknown sender","samuel carter",53745,0,2920,"Payment to Code Holder"
321,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-06-28 13:53:56. Your NEW BALANCE :7920 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-28 11:53:56",5000,"unknown sender","your mobile money account at",2024,0,7920,"Bank Deposit"
322,"TxId: 12278530897. Your payment of 3,500 RWF to Alex Doe 24477 has been completed at 2024-06-28 13:54:35. Your new balance: 4,420 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-28 11:54:35",3500,"unknown sender","alex doe",24477,0,4420,"Payment to Code Holder"
323,"*113*R*A bank deposit of 40000 RWF has been added to your mobile money account at 2024-06-28 17:19:26. Your NEW BALANCE :44420 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-28 15:19:26",40000,"unknown sender","your mobile money account at",2024,0,44420,"Bank Deposit"
324,"*113*R*A bank deposit of 40000 RWF has been added to your mobile money account at 2024-06-28 17:20:55. Your NEW BALANCE :84420 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-28 15:20:55",40000,"unknown sender","your mobile money account at",2024,0,84420,"Bank Deposit"
325,"*165*S*50000 RWF transferred to Alex Doe (250789888888) from 36521838 at 2024-06-28 17:21:38 . Fee was: 250 RWF. New balance: 34170 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-28 15:21:38",50000,"unknown sender","alex doe",250789888888,250,34170,"Transfer to Mobile"
326,"*162*TxId:14568668252*S*Your payment of 2000 RWF to Airtime with token  has been completed at 2024-06-28 17:38:18. Fee was 0 RWF. Your new balance: 32170 RWF . Message: - -. *EN#","2024-06-28 15:38:18",2000,"unknown sender","airtime with token  has been completed at",2024,0,32170,"Payment to Code Holder"
327,"*162*TxId:14569120894*S*Your payment of 2000 RWF to Bundles and Packs with token  has been completed at 2024-06-28 18:00:22. Fee was 0 RWF. Your new balance: 30170 RWF . Message: - -. *EN#","2024-06-28 16:00:22",2000,"unknown sender","bundles and packs with token  has been completed at",2024,0,30170,"Payment to Code Holder"
329,"*113*R*A bank deposit of 10000 RWF has been added to your mobile money account at 2024-06-28 23:16:51. Your NEW BALANCE :40170 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-28 21:16:51",10000,"unknown sender","your mobile money account at",2024,0,40170,"Bank Deposit"
330,"TxId: 80699538135. Your payment of 38,500 RWF to Jane Smith 49279 has been completed at 2024-06-28 23:17:22. Your new balance: 1,670 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-28 21:17:22",38500,"unknown sender","jane smith",49279,0,1670,"Payment to Code Holder"
331,"*113*R*A bank deposit of 40000 RWF has been added to your mobile money account at 2024-06-29 00:29:42. Your NEW BALANCE :41670 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-28 22:29:42",40000,"unknown sender","your mobile money account at",2024,0,41670,"Bank Deposit"
332,"*164*S*Y'ello,A transaction of 20000 RWF by INTOUCH COMMUNICATIONS  LTD on your MOMO account was successfully completed at 2024-06-29 00:32:19. Message from debit receiver: 250795963036. Your new balance:21670 RWF. Fee was 0 RWF. Financial Transaction Id: 14574631016. External Transaction Id: 169587820240628223202678996.*EN#","2024-06-28 22:32:19",20000,"unknown sender",unknown,N/A,0,21670,"Transactions Initiated by Third Parties"
333,"TxId: 76219803114. Your payment of 16,500 RWF to Alex Doe 31462 has been completed at 2024-06-29 00:42:15. Your new balance: 5,170 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-28 22:42:15",16500,"unknown sender","alex doe",31462,0,5170,"Payment to Code Holder"
334,"*113*R*A bank deposit of 50000 RWF has been added to your mobile money account at 2024-06-29 01:13:24. Your NEW BALANCE :55170 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-28 23:13:24",50000,"unknown sender","your mobile money account at",2024,0,55170,"Bank Deposit"
335,"TxId: 49444119897. Your payment of 12,500 RWF to Samuel Carter 80818 has been completed at 2024-06-29 01:16:07. Your new balance: 42,670 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-28 23:16:07",12500,"unknown sender","samuel carter",80818,0,42670,"Payment to Code Holder"
336,"TxId: 23617183914. Your payment of 11,500 RWF to Alex Doe 80450 has been completed at 2024-06-29 01:54:26. Your new balance: 31,170 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-28 23:54:26",11500,"unknown sender","alex doe",80450,0,31170,"Payment to Code Holder"
337,"TxId: 77242964085. Your payment of 5,000 RWF to Linda Green 58573 has been completed at 2024-06-29 02:35:39. Your new balance: 26,170 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-29 00:35:39",5000,"unknown sender","linda green",58573,0,26170,"Payment to Code Holder"
338,"TxId: 46513194998. Your payment of 2,000 RWF to Linda Green 29839 has been completed at 2024-06-29 02:54:58. Your new balance: 24,170 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-29 00:54:58",2000,"unknown sender","linda green",29839,0,24170,"Payment to Code Holder"
339,"*165*S*20000 RWF transferred to Alex Doe (250789888888) from 36521838 at 2024-06-29 03:44:40 . Fee was: 250 RWF. New balance: 3920 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-29 01:44:40",20000,"unknown sender","alex doe",250789888888,250,3920,"Transfer to Mobile"
340,"*113*R*A bank deposit of 100000 RWF has been added to your mobile money account at 2024-06-29 13:16:37. Your NEW BALANCE :103920 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-29 11:16:37",100000,"unknown sender","your mobile money account at",2024,0,103920,"Bank Deposit"
341,"TxId: 91434725399. Your payment of 5,800 RWF to Alex Doe 52731 has been completed at 2024-06-29 13:17:13. Your new balance: 98,120 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-29 11:17:13",5800,"unknown sender","alex doe",52731,0,98120,"Payment to Code Holder"
342,"*165*S*15000 RWF transferred to Jane Smith (250790777777) from 36521838 at 2024-06-29 14:41:22 . Fee was: 250 RWF. New balance: 82870 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-29 12:41:22",15000,"unknown sender","jane smith",250790777777,250,82870,"Transfer to Mobile"
343,"TxId: 92465449198. Your payment of 17,000 RWF to Jane Smith 48732 has been completed at 2024-06-29 15:55:40. Your new balance: 65,870 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-29 13:55:40",17000,"unknown sender","jane smith",48732,0,65870,"Payment to Code Holder"
344,"*164*S*Y'ello,A transaction of 20000 RWF by INTOUCH COMMUNICATIONS  LTD on your MOMO account was successfully completed at 2024-06-29 16:06:06. Message from debit receiver: 250795963036. Your new balance:45870 RWF. Fee was 0 RWF. Financial Transaction Id: 14582579702. External Transaction Id: 169710420240629140334182447.*EN#","2024-06-29 14:06:06",20000,"unknown sender",unknown,N/A,0,45870,"Transactions Initiated by Third Parties"
345,"*165*S*1000 RWF transferred to Robert Brown (250788999999) from 36521838 at 2024-06-29 16:59:53 . Fee was: 20 RWF. New balance: 44850 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-29 14:59:53",1000,"unknown sender","robert brown",250788999999,20,44850,"Transfer to Mobile"
346,"*165*S*15000 RWF transferred to Alex Doe (250790777777) from 36521838 at 2024-06-29 17:45:44 . Fee was: 250 RWF. New balance: 29600 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-29 15:45:44",15000,"unknown sender","alex doe",250790777777,250,29600,"Transfer to Mobile"
347,"TxId: 73443153836. Your payment of 4,000 RWF to Samuel Carter 93083 has been completed at 2024-06-29 18:25:16. Your new balance: 25,600 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-29 16:25:16",4000,"unknown sender","samuel carter",93083,0,25600,"Payment to Code Holder"
348,"*165*S*12000 RWF transferred to Samuel Carter (250790777777) from 36521838 at 2024-06-29 20:04:44 . Fee was: 250 RWF. New balance: 13350 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-29 18:04:44",12000,"unknown sender","samuel carter",250790777777,250,13350,"Transfer to Mobile"
349,"*113*R*A bank deposit of 100000 RWF has been added to your mobile money account at 2024-06-29 20:13:54. Your NEW BALANCE :113350 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-06-29 18:13:54",100000,"unknown sender","your mobile money account at",2024,0,113350,"Bank Deposit"
350,"TxId: 36547564090. Your payment of 15,000 RWF to Samuel Carter 33167 has been completed at 2024-06-29 20:14:18. Your new balance: 98,350 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-29 18:14:18",15000,"unknown sender","samuel carter",33167,0,98350,"Payment to Code Holder"
351,"TxId: 74110530634. Your payment of 3,000 RWF to Jane Smith 36439 has been completed at 2024-06-29 20:26:29. Your new balance: 95,350 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-29 18:26:29",3000,"unknown sender","jane smith",36439,0,95350,"Payment to Code Holder"
352,"TxId: 13627937199. Your payment of 3,000 RWF to Samuel Carter 89385 has been completed at 2024-06-29 20:48:30. Your new balance: 92,350 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-29 18:48:30",3000,"unknown sender","samuel carter",89385,0,92350,"Payment to Code Holder"
353,"TxId: 72441399952. Your payment of 5,000 RWF to Robert Brown 56837 has been completed at 2024-06-29 21:14:55. Your new balance: 87,350 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-29 19:14:55",5000,"unknown sender","robert brown",56837,0,87350,"Payment to Code Holder"
354,"TxId: 70782527436. Your payment of 3,500 RWF to Robert Brown 25426 has been completed at 2024-06-04 13:52:25. Your new balance: 2,130 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-04 11:52:25",3500,"unknown sender","robert brown",25426,0,2130,"Payment to Code Holder"
355,"TxId: 60128358762. Your payment of 12,000 RWF to Jane Smith 57243 has been completed at 2024-06-29 22:22:57. Your new balance: 72,350 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-29 20:22:57",12000,"unknown sender","jane smith",57243,0,72350,"Payment to Code Holder"
356,"*165*S*500 RWF transferred to Samuel Carter (250790777777) from 36521838 at 2024-06-07 07:52:59 . Fee was: 20 RWF. New balance: 5310 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-07 05:52:59",500,"unknown sender","samuel carter",250790777777,20,5310,"Transfer to Mobile"
357,"TxId: 61734495932. Your payment of 3,000 RWF to Jane Smith 73232 has been completed at 2024-06-29 22:00:11. Your new balance: 84,350 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-06-29 20:00:11",3000,"unknown sender","jane smith",73232,0,84350,"Payment to Code Holder"
358,"TxId: 73214484437. Your payment of 1,000 RWF to Jane Smith 12845 has been completed at 2024-05-10 16:31:39. Your new balance: 1,000 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-10 14:31:39",1000,"unknown sender","jane smith",12845,0,1000,"Payment to Code Holder"
359,"You have received 25000 RWF from Samuel Carter (*********013) on your mobile money account at 2024-05-14 20:57:36. Message from sender: . Your new balance:29060 RWF. Financial Transaction Id: 43668074924.","2024-05-14 18:57:36",25000,"samuel carter",unknown,N/A,0,29060,"Incoming Money"
360,"*165*S*500 RWF transferred to Samuel Carter (250790777777) from 36521838 at 2024-06-30 13:13:27 . Fee was: 20 RWF. New balance: 41080 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-06-30 11:13:27",500,"unknown sender","samuel carter",250790777777,20,41080,"Transfer to Mobile"
